#IP user browser visitNum date time UnixTime(UTC) random Nweb_to_visit typeWeb website revisitation visiting_time
192.168.246.132 0 F 0 2017-09-13 16:40 1505313637 0.87 160 1 http://www.google.com 0 8.67
192.168.246.132 0 F 0 2017-09-13 16:40 1505313647 0.87 160 1 http://www.google.com 1 192.5
192.168.246.132 0 F 0 2017-09-13 16:44 1505313841 0.87 160 1 http://www.google.com 2 191.12
192.168.246.132 0 F 0 2017-09-13 16:47 1505314033 0.87 160 1 http://www.google.com 3 0.48
192.168.246.132 0 F 1 2017-09-13 16:47 1505314057 0.79 61 1 http://www.vodafone.es 0 312.75
192.168.246.132 0 F 1 2017-09-13 16:52 1505314378 0.79 61 1 http://www.vodafone.es 1 155.69
192.168.246.132 0 F 1 2017-09-13 16:55 1505314541 0.79 61 1 http://www.vodafone.es 2 151.15
192.168.246.132 0 F 2 2017-09-13 16:58 1505314713 0.03 140 1 http://www.citroen.es 0 10.22
192.168.246.132 0 F 2 2017-09-13 16:58 1505314729 0.03 140 1 http://www.citroen.es 1 11.0
192.168.246.132 0 F 2 2017-09-13 16:59 1505314746 0.03 140 1 http://www.citroen.es 2 4.79
192.168.246.132 0 F 2 2017-09-13 16:59 1505314757 0.03 140 1 http://www.citroen.es 3 66.29
192.168.246.132 0 F 2 2017-09-13 17:00 1505314830 0.03 140 1 http://www.citroen.es 4 5.11
192.168.246.132 0 F 3 2017-09-13 17:01 1505314895 0.18 29 1 http://www.larazon.es 0 53.98
192.168.246.132 0 F 3 2017-09-13 17:02 1505314949 0.18 29 1 http://www.larazon.es 1 189.04
192.168.246.132 0 F 4 2017-09-13 17:06 1505315198 0.69 48 1 http://www.quo.es 0 19.36
192.168.246.132 0 F 4 2017-09-13 17:07 1505315278 0.69 48 1 http://www.quo.es 1 0.21
192.168.246.132 0 F 4 2017-09-13 17:07 1505315278 0.69 48 1 http://www.quo.es 2 23.14
192.168.246.132 0 F 4 2017-09-13 17:08 1505315302 0.69 48 1 http://www.quo.es 3 153.36
192.168.246.132 0 F 5 2017-09-13 17:11 1505315462 0.89 140 1 http://www.citroen.es 0 488.88
192.168.246.132 0 F 5 2017-09-13 17:19 1505315956 0.89 140 1 http://www.citroen.es 1 163.38
192.168.246.132 0 F 5 2017-09-13 17:22 1505316126 0.89 140 1 http://www.citroen.es 2 63.29
192.168.246.132 0 F 5 2017-09-13 17:23 1505316196 0.89 140 1 http://www.citroen.es 3 132.43
192.168.246.132 0 F 5 2017-09-13 17:25 1505316335 0.89 140 1 http://www.citroen.es 4 9.93
